serial,opeid,institution,address,city,state,zip,repayment_borrowers,default_borrowers,default_rate,borrower_default_count_240,principal_outstanding_240
1447,187400,Luther College,700 College Drive,Decorah,IA,52101-1045,312,18,5.77%,104,381741
1448,1111300,Maharishi University of Management,1000 North Fourth Street,Fairfield,IA,52557-0001,82,13,15.85%,40,282080
1451,187900,Morningside College,1501 Morningside Avenue,Sioux City,IA,51106-1751,214,16,7.48%,77,103774
1452,188000,Mount Mercy University,1330 Elmhurst Drive NE,Cedar Rapids,IA,52402-4797,135,12,8.89%,95,163741
1457,188300,Northwestern College,101 7th Street Southwest,Orange City,IA,51041-1996,94,5,5.32%,111,179508
1459,1230000,Palmer College of Chiropractic,1000 Brady Street,Davenport,IA,52803-5287,326,15,4.60%,221,794525
1463,188900,Saint Ambrose University,518 West Locust Street,Davenport,IA,52803-2898,172,24,13.95%,159,437138
1468,188700,Simpson College,701 North C Street,Indianola,IA,50125-1297,222,13,5.86%,138,263110
1478,189100,University of Dubuque,2000 University Avenue,Dubuque,IA,52001-5099,70,20,28.57%,84,407420
1479,189200,University of Iowa,4 Jessup Hall,Iowa City,IA,52242-1316,689,22,3.19%,789,1399534
1480,189000,University of Northern Iowa,1227 West 27th Street,Cedar Falls,IA,50614-0002,545,53,9.72%,574,1487625
1481,189300,Upper Iowa University,605 Washington Street,Fayette,IA,52142-9206,57,11,19.30%,44,53019
1483,189500,Waldorf College,106 South 6th Street,Forest City,IA,50436-1700,110,22,20.00%,183,290136
1484,189600,Wartburg College,100 Wartburg Boulevard,Waverly,IA,50677-2200,197,16,8.12%,140,266285
1485,189700,Wartburg Theological Seminary,333 Wartburg Place,Dubuque,IA,52004-5004,30,1,3.33%,4,12546
1488,190000,William Penn University,201 Trueblood Avenue,Oskaloosa,IA,52577-1799,81,19,23.46%,276,546841
1081,161600,Boise State University,1910 University Drive,Boise,ID,83725-1000,421,85,20.19%,928,1716310
1082,161700,College of Idaho (The),2112 Cleveland Boulevard,Caldwell,ID,83605-4432,51,10,19.61%,82,201076
1086,162000,Idaho State University,919 South 8th Street,Pocatello,ID,83209-5377,231,24,10.39%,279,366319
1087,162100,Lewis-Clark State College,500 8th Avenue,Lewiston,ID,83501-2698,30,0,0%,26,53051
1089,162300,North Idaho College,1000 West Garden Avenue,Coeur d'Alene,ID,83814-2199,84,16,19.05%,179,342534
1090,162400,Northwest Nazarene University,623 South University Boulevard,Nampa,ID,83686-5897,106,13,12.26%,65,280839
1093,162600,University of Idaho,709 Deakin Avenue,Moscow,ID,83844-4291,710,96,13.52%,564,1140152
1102,163300,Augustana College,639 38th Street,Rock Island,IL,61201-2296,191,13,6.81%,106,259655
1103,163400,Aurora University,347 South Gladstone Avenue,Aurora,IL,60506-4892,30,3,10.00%,150,227260
1167,176700,Benedictine University,5700 College Road,Lisle,IL,60532-0900,110,16,14.55%,180,335387
1109,163900,Blackburn University,700 College Avenue,Carlinville,IL,62626-1498,0,0,0%,22,73555
1110,164100,Bradley University,1501 West Bradley Avenue,Peoria,IL,61625-0002,211,12,5.69%,99,199913
1121,169400,Chicago State University,9501 South  King Drive,Chicago,IL,60628-1598,83,18,21.69%,724,926640
1123,164700,City Colleges of Chicago System Office,226 West Jackson Boulevard,Chicago,IL,60606-6998,39,3,7.69%,1169,387296
1132,166600,Concordia University,7400 Augusta,River Forest,IL,60305-1499,51,9,17.65%,169,212638
1141,167100,DePaul University,1 East Jackson Boulevard,Chicago,IL,60604-2287,265,12,4.53%,307,1137410
1142,1072700,DeVry University,3300 North Campbell,Chicago,IL,60618-5994,7364,1505,20.44%,20728,32815502
1270,175000,Dominican University,7900 West Division Street,River Forest,IL,60305-1066,41,7,17.07%,132,313495
1143,167400,Eastern Illinois University,600 Lincoln Avenue,Charleston,IL,61920-3099,291,20,6.87%,531,997877
1146,167600,Elmhurst College,190 Prospect Street,Elmhurst,IL,60126-3296,129,8,6.20%,99,169589
1147,167800,Eureka College,300 East College Avenue,Eureka,IL,61530-9976,43,7,16.28%,21,33727
2065,1185800,Everest College,9811 Woods Drive  Suite 200,Skokie,IL,60077-1074,78,10,12.82%,318,296552
7216,2522800,Fox College,6640 S. Cicero,Bedford Park,IL,60638-1999,44,6,13.64%,21,43185
1153,168200,Garrett - Evangelical Theological Seminary,2121 Sheridan Road,Evanston,IL,60201-2926,52,16,30.77%,70,213739
1156,914500,Governors State University,1 University Parkway,University Park,IL,60466-0975,119,13,10.92%,285,645126
1159,168400,Greenville College,315 East College Avenue,Greenville,IL,62246-1199,71,8,11.27%,168,292744
1169,168800,Illinois College,1101 West College Avenue,Jacksonville,IL,62650-2299,107,9,8.41%,126,177598
1170,168900,Illinois College of Optometry,3241 South Michigan Avenue,Chicago,IL,60616-3878,70,0,0%,1,22605
6763,174200,Illinois Eastern Community Colleges - Olney Central College,305 North West Street,Olney,IL,62450-1099,53,15,28.30%,0,0
1173,169100,Illinois Institute of Technology,3300 South Federal,Chicago,IL,60661-3793,266,13,4.89%,222,650933
1175,169200,Illinois State University,302 Hovey Hall,Normal,IL,61790-1000,363,18,4.96%,772,1545783
1177,169600,Illinois Wesleyan University,1312 North Park Street,Bloomington,IL,61702-2900,145,18,12.41%,233,524529
1188,170000,Judson University,1151 North State Street,Elgin,IL,60123-1498,53,3,5.66%,74,107979
1190,170100,Kaskaskia College,27210 College Road,Centralia,IL,62801-7878,79,16,20.25%,0,0
1192,170300,Kendall College,900 N. North Branch Street,Chicago,IL,60622-4278,48,14,29.17%,235,304040
1195,170400,Knox College,2 East South Street,Galesburg,IL,61401-4999,169,13,7.69%,52,168588
1196,170600,Lake Forest College,555 North Sheridan Road,Lake Forest,IL,60045-2399,113,14,12.39%,154,372427
1202,170700,Lewis University,One University Parkway,Romeoville,IL,60446-2200,42,5,11.90%,47,113363
1203,170800,Lincoln Christian University,100 Campus View Drive,Lincoln,IL,62656-2167,112,34,30.36%,83,178745
1204,170900,Lincoln College,300 Keokuk Street,Lincoln,IL,62656-1699,32,9,28.13%,20,24539
1208,171000,Loyola University Chicago,820 North Michigan Avenue,Chicago,IL,60611-2196,923,87,9.43%,606,1386044
1210,171600,MacCormac College,MacCormac College - Main Campus,Chicago,IL,60602-4405,0,0,0%,6,6526
1211,171700,MacMurray College,447 East College Avenue,Jacksonville,IL,62650-2590,118,25,21.19%,391,755516
1216,172200,McKendree University,701 College Road,Lebanon,IL,62254-1299,60,16,26.67%,56,74141
1118,165700,Midwestern University,555 31st Street,Downers Grove,IL,60515-1200,40,1,2.50%,8,20555
1221,172400,Millikin University,1184 West Main Street,Decatur,IL,62522-2084,149,20,13.42%,213,592466
1225,172500,Monmouth College,700 East Broadway,Monmouth,IL,61462-1963,227,30,13.22%,527,714199
1238,173300,National Louis University,122 South Michigan Avenue,Chicago,IL,60603-3032,91,24,26.37%,282,602718
1236,173200,National University of Health Sciences (The),200 East Roosevelt Road,Lombard,IL,60148-4583,99,3,3.03%,51,112716
1240,173400,North Central College,30 North Brainard Street,Naperville,IL,60540-4690,117,5,4.27%,83,130048
1244,173500,North Park University,3225 West Foster Avenue,Chicago,IL,60625-4895,151,19,12.58%,353,503838
1241,169300,Northeastern Illinois University,5500 North Saint Louis Avenue,Chicago,IL,60625-4699,129,14,10.85%,188,441129
1243,173700,Northern Illinois University,Altgeld Hall - Room 300A,DeKalb,IL,60115-2854,560,62,11.07%,260,587140
1246,173900,Northwestern University,633 Clark Street,Evanston,IL,60208-0001,1030,29,2.82%,433,2613472
1250,174100,Olivet Nazarene University,One University Avenue,Bourbonnais,IL,60914-2271,281,26,9.25%,148,241784
1253,711800,Parkland College,2400 West Bradley Avenue,Champaign,IL,61821-1899,1,0,0%,69,100278
1258,174500,Quincy University,1800 College Avenue,Quincy,IL,62301-2699,151,32,21.19%,214,430348
1263,174600,Robert Morris University Illinois,401 South State Street,Chicago,IL,60605-1225,292,25,8.56%,1114,1881743
1268,174800,Rockford College,5050 East State Street,Rockford,IL,61108-2393,57,9,15.79%,212,421362
1120,165900,Rosalind Franklin University of Medicine and Science,3333 Green Bay Road,North Chicago,IL,60064-3095,211,15,7.11%,65,362567
1271,980000,Rush University,600 South Paulina Street,Chicago,IL,60612-3806,238,7,2.94%,52,362212
1273,176800,Saint Xavier University,3700 West 103rd Street,Chicago,IL,60655-3199,126,17,13.49%,288,575048
1279,175300,School of the Art Institute of Chicago,37 South Wabash Avenue,Chicago,IL,60603-3013,195,27,13.85%,418,915146
1283,175600,Shimer College,3424 South State Street,Chicago,IL,60616-3893,31,5,16.13%,90,262576
1285,175800,Southern Illinois University at Carbondale,Lincoln Drive,Carbondale,IL,62901-0000,859,51,5.94%,1070,2296906
1286,175900,Southern Illinois University Edwardsville,2308 Rendleman Hall,Edwardsville,IL,62026-1060,36,1,2.78%,67,101645
1299,177100,Trinity Christian College,6601 West College Drive,Palos Heights,IL,60463-0929,73,7,9.59%,72,126211
1300,177200,Trinity International University,2065 Half Day Road,Deerfield,IL,60015-1283,196,20,10.20%,167,260563
1302,177300,Triton College,2000 North 5th Avenue,River Grove,IL,60171-1995,0,0,0%,4,4857
1305,177400,University of Chicago (The),5801 South Ellis Avenue,Chicago,IL,60637-1476,923,16,1.73%,391,1767200
1307,177600,University of Illinois at Chicago,809 S Marshfield Ave # 520,Chicago,IL,60612-4305,1486,52,3.50%,954,2261857
1274,933300,University of Illinois at Springfield,One University Plaza,Springfield,IL,62703-5407,30,3,10.00%,12,20310
1306,177500,University of Illinois at Urbana-Champaign,601 East John Street,Champaign,IL,61820-5796,1043,38,3.64%,767,1366452
1129,166400,University of Saint Francis,500 Wilcox Street,Joliet,IL,60435-6188,57,6,10.53%,91,200506
1313,178000,Western Illinois University,1 University Circle,Macomb,IL,61455-1390,47,3,6.38%,222,399859
8606,3079200,Westwood College - DuPage,7155 Janes Avenue,Woodridge,IL,60517-2321,1,1,100%,9,11041
7285,2313900,Westwood College - O'Hare Airport,8501 West Higgins Road,Chicago,IL,60631-2801,3,1,33.33%,8,15585
1314,178100,Wheaton College,501 College Avenue,Wheaton,IL,60187-5535,178,4,2.25%,57,120005
1321,178500,Anderson University,1100 East 5th Street,Anderson,IN,46012-3495,103,12,11.65%,299,735508
1322,178600,Ball State University,2000 University Avenue,Muncie,IN,47306-0880,588,102,17.35%,935,2092731
4741,163700,Bethany Theological Seminary,615 National Road West,Richmond,IN,47374-4019,12,0,0%,4,9035
1323,178700,Bethel College,1001 Bethel Circle,Mishawaka,IN,46545-5591,57,3,5.26%,79,78334
1324,178800,Butler University,4600 Sunset Avenue,Indianapolis,IN,46208-3487,286,19,6.64%,117,287432
1329,179200,DePauw University,313 South Locust Street,Greencastle,IN,46135-0037,204,10,4.90%,103,238217
1331,179300,Earlham College,801 National Road West,Richmond,IN,47374-4095,117,6,5.13%,82,248356
1336,179800,Franklin College of Indiana,101 Branigin Boulevard,Franklin,IN,46131-2623,120,14,11.67%,194,464188
1337,179900,Goshen College,1700 South Main Street,Goshen,IN,46526-4794,92,4,4.35%,35,112397
1338,180000,Grace College and Theological Seminary,200 Seminary Drive,Winona Lake,IN,46590-1224,122,8,6.56%,83,251406
1342,726300,Holy Cross College,54515 SR 933 North,Notre Dame,IN,46556-0308,27,12,44.44%,40,52905
1343,180300,Huntington University,2303 College Avenue,Huntington,IN,46750-1299,78,11,14.10%,89,173598
1346,180500,Indiana Institute of Technology,1600 East Washington Boulevard,Fort Wayne,IN,46803-1297,66,8,12.12%,188,310631
1348,180700,Indiana State University,Office of the President,Terre Haute,IN,47809-2501,405,25,6.17%,907,1802867
1354,180900,Indiana University - Bloomington,107 South Indiana Avenue,Bloomington,IN,47405-7000,897,13,1.45%,627,1868924
1351,181100,Indiana University - East,2325 Chester Boulevard,Richmond,IN,47374-1289,69,11,15.94%,42,68055
1350,181400,Indiana University - Kokomo,2300 South Washington Street,Kokomo,IN,46902-3557,34,5,14.71%,55,54791
1349,181500,Indiana University - Northwest,3400 Broadway,Gary,IN,46408-1197,36,8,22.22%,93,141793
1379,182800,Indiana University - Purdue University - Ft Wayne,2101 East Coliseum Boulevard,Fort Wayne,IN,46805-1499,221,28,12.67%,161,327337
1352,181300,Indiana University - Purdue University Indianapolis,355 Lansing Street,Indianapolis,IN,46202-5145,683,51,7.47%,638,853135
1353,181600,Indiana University - South Bend,1700 Mishawaka Avenue,South Bend,IN,46634-7111,189,27,14.29%,237,312585
1355,181700,Indiana University Southeast,4201 Grant Line Road,New Albany,IN,47150-6405,145,17,11.72%,201,333345
1368,182200,Indiana Wesleyan University,4201 South Washington Street,Marion,IN,46953-4974,84,18,21.43%,156,306664
1358,457900,International Business College,5699 Coventry Lane,Fort Wayne,IN,46804-1298,120,17,14.17%,84,218439
6335,2201800,Kaplan College,7833 Indianapolis Boulevard,Hammond,IN,46324-3347,115,39,33.91%,259,255755
1366,182000,Manchester University,604 East College Avenue,North Manchester,IN,46962-1276,79,8,10.13%,165,423074
1367,182100,Marian University,3200 Cold Spring Road,Indianapolis,IN,46222-1997,87,12,13.79%,135,273028
1580,1048900,National College,6060 Castleway Drive West,Indianapolis,IN,46250-1930,39,1,2.56%,89,183387
1374,182400,Oakland City University,138 N. Lucretia Street,Oakland City,IN,47660-1099,49,9,18.37%,54,127249
1380,182500,Purdue University,610 Purdue Mall,West Lafayette,IN,47907-2040,1008,53,5.26%,350,839945
1378,182700,Purdue University - Calumet,2200 169th Street,Hammond,IN,46323-2094,40,1,2.50%,47,127171
1381,182600,Purdue University - North Central,1401 South US Highway 421,Westville,IN,46391-9542,35,3,8.57%,13,17827
1383,183000,Rose - Hulman Institute of Technology,5500 Wabash Avenue,Terre Haute,IN,47803-3999,271,12,4.43%,42,169680
1386,183300,Saint Joseph's College,1498 South College Avenue,Rensselaer,IN,47978-0000,97,17,17.53%,89,175754
1387,183500,Saint Mary of the Woods College,Saint Mary of the Woods Road,Saint Mary of the Woods,IN,47876-0067,90,28,31.11%,94,115822
1388,183600,Saint Mary's College,133 LeMans Hall,Notre Dame,IN,46556-5007,69,13,18.84%,146,357574
1393,183800,Taylor University,236 West Reade Avenue,Upland,IN,46989-1001,142,13,9.15%,186,309288
1395,183900,Trine University,1 University Avenue,Angola,IN,46703-1764,0,0,0%,33,81298
1396,179500,University of Evansville,1800 Lincoln Avenue,Evansville,IN,47722-0002,201,7,3.48%,85,308333
1344,180400,University of Indianapolis,1400 East Hanna Avenue,Indianapolis,IN,46227-3697,307,44,14.33%,377,544323
1397,184000,University of Notre Dame,400 Main Building,Notre Dame,IN,46556-5602,538,16,2.97%,361,1984846
1385,183200,University of Saint Francis,2701 Spring Street,Fort Wayne,IN,46808-3994,36,4,11.11%,166,333960
1347,180800,University of Southern Indiana,8600 University Boulevard,Evansville,IN,47712-3596,1,0,0%,0,0
1398,184200,Valparaiso University,1700 Chapel Drive,Valparaiso,IN,46383-6493,308,13,4.22%,219,688979
1400,184300,Vincennes University,1002 North First Street,Vincennes,IN,47591-1523,90,52,57.78%,284,436346
1490,190300,Baker University,618 Eighth Street,Baldwin City,KS,66006-0065,186,22,11.83%,114,340235
1491,460800,Barton County Community College,245 North East 30 Road,Great Bend,KS,67530-9283,0,0,0%,43,47558
1492,1025600,Benedictine College,1020 North 2nd Street,Atchison,KS,66002-1499,146,24,16.44%,389,923015
1493,190400,Bethany College,335 E Swensson St,Lindsborg,KS,67456-1897,103,14,13.59%,140,359644
1494,190500,Bethel College,300 East 27th Street,North Newton,KS,67117-8061,75,13,17.33%,212,585076
1495,675500,Brown Mackie College (The),2106 South 9th. Street,Salina,KS,67401-7307,74,18,24.32%,630,1018611
1497,190800,Central Christian College of Kansas,1200 South Main Street,McPherson,KS,67460-5799,94,18,19.15%,259,876929
5951,2090700,Cleveland University-Kansas City,10850 Lowell Avenue,Overland Park,KS,66210-1613,6,2,33.33%,75,77548
1502,191100,Colby Community College,1255 South Range,Colby,KS,67701-4099,93,19,20.43%,207,281648
1508,192700,Emporia State University,1200 Commerical Street,Emporia,KS,66801-5087,227,30,13.22%,470,1238926
1509,191500,Fort Hays State University,600 Park Street,Hays,KS,67601-4099,331,39,11.78%,206,519833
1512,191800,Friends University,2100 W. University Street,Wichita,KS,67213-3397,79,18,22.78%,160,430215
1516,192000,Hesston College,325 South College Drive,Hesston,KS,67062-2093,123,18,14.63%,30,117297
1522,824400,Johnson County Community College,12345 College Boulevard,Overland Park,KS,66210-1299,109,33,30.28%,189,302238
1527,192800,Kansas State University,110 Anderson Hall,Manhattan,KS,66506-1104,547,39,7.13%,832,1401566
1529,192900,Kansas Wesleyan University,100 East Claflin Street,Salina,KS,67401-6196,60,4,6.67%,149,217616
1533,193100,Manhattan Christian College,1415 Anderson Avenue,Manhattan,KS,66502-4081,62,11,17.74%,32,69844
1535,193300,McPherson College,1600 East Euclid Street,McPherson,KS,67460-3899,58,11,18.97%,191,297814
1536,703200,MidAmerica Nazarene University,2030 East College Way,Olathe,KS,66062-1899,147,19,12.93%,150,441936
1525,193900,Newman University,3100 McCormick Avenue,Wichita,KS,67213-2084,45,10,22.22%,64,75147
1543,193700,Ottawa University,1001 South Cedar,Ottawa,KS,66067-3399,84,19,22.62%,325,776884
1526,192600,Pittsburg State University,1701 South Broadway,Pittsburg,KS,66762-7500,197,22,11.17%,379,786609
1553,194000,Southwestern College,100 College Street,Winfield,KS,67156-2499,91,29,31.87%,317,936444
1554,194500,Sterling College,125 West Cooper,Sterling,KS,67579-1533,36,2,5.56%,22,74503
1555,194600,Tabor College,400 South Jefferson,Hillsboro,KS,67063-1799,50,14,28.00%,140,299212
1556,194800,University of Kansas,Strong Hall,Lawrence,KS,66045-7535,703,54,7.68%,442,1639205
1548,194300,University of Saint Mary,4100 South 4th Street Trafficway,Leavenworth,KS,66048-5023,61,18,29.51%,86,129967
1558,194900,Washburn University - Topeka,1700 Southwest College Avenue,Topeka,KS,66621-1110,125,23,18.40%,149,184155
1561,195000,Wichita State University,1845 Fairmount,Wichita,KS,67208-0001,425,48,11.29%,762,1468191
1562,195100,Alice Lloyd College,100 Purpose Road,Pippa Passes,KY,41844-9703,4,3,75.00%,177,106748
1563,195200,Asbury College,1 Macklem Drive,Wilmore,KY,40390-1198,154,11,7.14%,124,257605
1564,195300,Asbury Theological Seminary,204 North Lexington Avenue,Wilmore,KY,40390-1199,138,10,7.25%,124,554080
1566,195400,Bellarmine University,2001 Newburg Road,Louisville,KY,40205-1877,47,3,6.38%,42,69709
1567,195500,Berea College,101 Chestnut Street,Berea,KY,40404-2182,71,8,11.27%,122,74988
1569,195800,Brescia University,717 Frederica Street,Owensboro,KY,42301-3023,68,19,27.94%,88,220929
1572,195900,Campbellsville University,1 University Drive,Campbellsville,KY,42718-2799,61,7,11.48%,28,61655
1573,196100,Centre College of Kentucky,600 West Walnut Street,Danville,KY,40422-1394,40,5,12.50%,55,123613
1576,196300,Eastern Kentucky University,521 Lancaster Avenue,Richmond,KY,40475-3102,193,27,13.99%,411,1075483
1578,196400,Georgetown College,400 East College Street,Georgetown,KY,40324-1628,40,5,12.50%,61,220528
1581,196500,Kentucky Christian University,100 Academic Parkway,Grayson,KY,41143-2205,50,7,14.00%,65,77593
1583,196800,Kentucky State University,400 East Main Street,Frankfort,KY,40601-2355,86,9,10.47%,1041,1071285
1584,196900,Kentucky Wesleyan College,3000 Frederica Street,Owensboro,KY,42301-6057,74,19,25.68%,96,207593
1588,197200,Lindsey Wilson College,210 Lindsey Wilson Street,Columbia,KY,42728-1223,81,28,34.57%,142,287413
1589,197400,Louisville Presbyterian Theological Seminary,1044 Alta Vista Road,Louisville,KY,40205-1798,24,2,8.33%,14,103480
1592,197600,Morehead State University,202 Howell McDowell Building,Morehead,KY,40351-1689,238,48,20.17%,337,593659
1593,197700,Murray State University,Student Financial Aid,Murray,KY,42071-0009,774,16,2.07%,302,507591
1595,927500,Northern Kentucky University,Nunn Drive,Highland Heights,KY,41099-0001,135,22,16.30%,404,690132
1603,196000,Spalding University,845 South Third Street,Louisville,KY,40203-2188,41,9,21.95%,164,231479
1604,461800,Spencerian College,4627 Dixie Highway,Louisville,KY,40216-2605,135,28,20.74%,228,410009
1598,198300,St. Catharine College,2735 Bardstown Road,St. Catharine,KY,40061-9499,30,15,50.00%,67,95760
5018,1208800,Sullivan College of Technology and Design,3901 Atkinson Square Drive,Louisville,KY,40218-4528,98,11,11.22%,163,254326
1606,461900,Sullivan University,3101 Bardstown Road,Louisville,KY,40205-3000,79,0,0%,437,847968
1607,200100,Thomas More College,333 Thomas More Parkway,Crestview Hills,KY,41017-3495,70,15,21.43%,176,315864
1608,198700,Transylvania University,300 North Broadway,Lexington,KY,40508-1797,67,2,2.99%,78,152406
1609,198800,Union College,310 College Street,Barbourville,KY,40906-1499,58,9,15.52%,124,163036
1611,198900,University of Kentucky,South Limestone,Lexington,KY,40506-0032,1005,36,3.58%,1495,2032637
1612,199900,University of Louisville,2301 South Third Street,Louisville,KY,40208-1415,402,67,16.67%,426,1231073
1597,198000,University of Pikeville,147 Sycamore Street,Pikeville,KY,41501-1194,69,14,20.29%,54,114959
1574,196200,University of the Cumberlands,6191 College Station Drive,Williamsburg,KY,40769-1372,68,8,11.76%,121,521136
1615,200200,Western Kentucky University,1906 College Heights Blvd,Bowling Green,KY,42101-3576,126,7,5.56%,223,647883
6270,2197500,Baton Rouge School of Computers,9352 Interline Avenue,Baton Rouge,LA,70809-8188,48,10,20.83%,66,82049
6481,2234000,Cameron College,2740 Canal Street,New Orleans,LA,70119-5500,22,1,4.55%,55,56291
1621,200300,Centenary College of Louisiana,2911 Centenary Boulevard,Shreveport,LA,71104-3396,50,13,26.00%,30,117919
1626,462500,Delgado Community College,615 City Park Avenue,New Orleans,LA,70119-4399,0,0,0%,126,55164
7765,2538300,Delta College of Arts & Technology,7380 Exchange Place,Baton Rouge,LA,70806-1529,0,0,0%,3,3500
5031,2055500,Delta School of Business and Technology,517 Broad Street,Lake Charles,LA,70601-4334,37,1,2.70%,306,806137
1631,200400,Dillard University,2601 Gentilly Boulevard,New Orleans,LA,70122-3097,102,17,16.67%,1081,1665879
1642,200700,Louisiana College,1140 College Drive,Pineville,LA,71360-5122,0,0,0%,350,408813
1643,201000,Louisiana State University & Agricultural & Mechanical College,156 Thomas Boyd Hall,Baton Rouge,LA,70803-5710,386,31,8.03%,269,1095703
1645,201200,Louisiana State University at Eunice,2048 Johnson Highway,Eunice,LA,70535-6726,39,5,12.82%,131,194838
1649,201400,Louisiana State University Health Sciences Center,433 Bolivar Street,New Orleans,LA,70112-2223,89,14,15.73%,125,338856
1650,806700,Louisiana State University Health Sciences Center in Shreveport,1501 Kings Highway,Shreveport,LA,71130-3932,38,2,5.26%,31,145729
1648,200800,Louisiana Tech University,Wyly Tower  Railroad Avenue,Ruston,LA,71272-0001,272,27,9.93%,265,758346
1651,201600,Loyola University New Orleans,6363 Saint Charles Avenue,New Orleans,LA,70118-6195,201,36,17.91%,349,838440
1653,201700,McNeese State University,4205 Ryan Street,Lake Charles,LA,70609-4510,94,8,8.51%,178,377651
1657,200500,Nicholls State University,906 East First Street,Thibodaux,LA,70310-0001,2,1,50.00%,1,1346
1659,202100,Northwestern State University,140 Central Avenue,Natchitoches,LA,71497-0001,138,39,28.26%,203,457057
1662,202300,Our Lady of Holy Cross College,4123 Woodland Drive,New Orleans,LA,70131-7399,0,0,0%,43,45716
1668,202400,Southeastern Louisiana University,900 West University Avenue,Hammond,LA,70402-0001,160,40,25.00%,660,1008068
1669,202500,Southern University and Agricultural & Mechanical Colg at Baton Rouge,Joseph S Clark Adminstration Bldg,Baton Rouge,LA,70813-9374,0,0,0%,2955,1665308
1671,768600,Southern University at Shreveport - Bossier City,3050 Martin Luther King Jr Drive,Shreveport,LA,71107-4795,0,0,0%,255,214919
1677,202900,Tulane University,6823 St. Charles Avenue,New Orleans,LA,70118-5698,844,65,7.70%,529,2009899
1678,203100,University of Louisiana at Lafayette,200 East University Avenue,Lafayette,LA,70504-0001,123,17,13.82%,672,2879239
1658,202000,University of Louisiana at Monroe,700 University Avenue,Monroe,LA,71209-9001,102,8,7.84%,141,377193
1646,201500,University of New Orleans (The),2000 Lakeshore Drive,New Orleans,LA,70148-0001,256,56,21.88%,573,1228205
1679,203200,Xavier University of Louisiana,One Drexel Drive,New Orleans,LA,70125-1098,119,7,5.88%,489,688751
1795,211400,American International College,1000 State Street,Springfield,MA,01109-3189,103,32,31.07%,455,624050
1796,211500,Amherst College,Boltwood Avenue at College Street,Amherst,MA,01002-5000,74,5,6.76%,70,294670
1804,211700,Anna Maria College,50 Sunset Lane,Paxton,MA,01612-1198,47,10,21.28%,160,320411
1810,211800,Assumption College,500 Salisbury Street,Worcester,MA,01615-1294,186,10,5.38%,62,122938
1811,211900,Atlantic Union College,338 Main Street,South Lancaster,MA,01561-1000,149,35,23.49%,247,363742
1812,212100,Babson College,231 Forest Street,Babson Park,MA,02457-0310,42,5,11.90%,79,298447
1938,964500,Bard College at Simon's Rock,84 Alford Road,Great Barrington,MA,01230-9702,49,13,26.53%,108,159721
1814,212200,Bay Path College,588 Longmeadow Street,Longmeadow,MA,01106-2212,77,14,18.18%,171,339406
1815,396500,Bay State College,122 Commonwealth Avenue,Boston,MA,02116-2901,37,5,13.51%,209,401715
1816,212300,Becker College,61 Sever Street,Worcester,MA,01615-0071,0,0,0%,31,44430
1817,212400,Bentley University,175 Forest Street,Waltham,MA,02452-4705,361,9,2.49%,106,322826
1818,212600,Berklee College of Music,1140 Boylston Street,Boston,MA,02215-3693,299,48,16.05%,410,898540
1825,212800,Boston College,140 Commonwealth Avenue,Chestnut Hill,MA,02467-3800,904,15,1.66%,232,952281
1828,213000,Boston University,Office of the President,Boston,MA,02215-1789,1304,33,2.53%,1046,2772638
1830,213300,Brandeis University,415 South Street,Waltham,MA,02453-2700,216,16,7.41%,161,580286
1831,218300,Bridgewater State University,131 Summer Street,Bridgewater,MA,02325-0001,82,9,10.98%,628,851088
1836,1121000,Bunker Hill Community College,250 New Rutherford Avenue,Boston,MA,02129-2991,1,0,0%,6,8955
6282,2182900,Cambridge College,1000 Massachusetts Avenue,Cambridge,MA,02138-5304,10,5,50.00%,31,64902
1839,216800,Cape Cod Community College,2240 Iyannough Road,West Barnstable,MA,02668-1599,0,0,0%,82,73381
1845,213900,Clark University,950 Main Street,Worcester,MA,01610-1473,158,6,3.80%,96,330809
1846,214000,College of Our Lady of the Elms,291 Springfield Street,Chicopee,MA,01013-2839,37,6,16.22%,145,208585
1847,214100,College of the Holy Cross,1 College Street,Worcester,MA,01610-2395,205,3,1.46%,55,154461
1850,214300,Curry College,1071 Blue Hill Avenue,Milton,MA,02186-2395,31,10,32.26%,66,93038
1851,214400,Dean College,99 Main Street,Franklin,MA,02038-1994,64,23,35.94%,485,701673
1854,214500,Eastern Nazarene College,23 East Elm Avenue,Quincy,MA,02170-2999,144,44,30.56%,186,257812
1857,214600,Emerson College,120 Boylston Street,Boston,MA,02116-4624,182,8,4.40%,74,173723
1859,214700,Emmanuel College,400 The Fenway,Boston,MA,02115-5798,124,23,18.55%,227,491732
5221,214800,Endicott College,376 Hale Street,Beverly,MA,01915-2098,93,7,7.53%,129,106835
1835,1151000,Everest Institute,1505 Commonwealth Avenue,Brighton,MA,02135-3605,40,3,7.50%,18,15117
1862,215000,Fisher College,118 Beacon Street,Boston,MA,02116-1500,38,15,39.47%,144,223019
1863,218400,Fitchburg State University,160 Pearl Street,Fitchburg,MA,01420-2697,109,9,8.26%,233,343198
1865,218500,Framingham State College,100 State Street,Framingham,MA,01702-2471,213,52,24.41%,301,503700
1868,215300,Gordon College,255 Grapevine Road,Wenham,MA,01984-1899,142,13,9.15%,141,265706
1869,974700,Gordon Conwell Theological Seminary,130 Essex Street,South Hamilton,MA,01982-2317,79,3,3.80%,29,89358
